Kod;Nazwa;Wskaźniki;Rok;Wartosc;Jednostka miary;Atrybut
615011;Radzyń Podlaski (1);ludność na 1 km2;2006;835;osoba; 
615022;Borki (2);ludność na 1 km2;2006;55;osoba; 
615032;Czemierniki (2);ludność na 1 km2;2006;43;osoba; 
615042;Kąkolewnica (2);ludność na 1 km2;2006;57;osoba; 
615052;Komarówka Podlaska (2);ludność na 1 km2;2006;34;osoba; 
615062;Radzyń Podlaski (2);ludność na 1 km2;2006;52;osoba; 
615072;Ulan-Majorat (2);ludność na 1 km2;2006;56;osoba; 
615082;Wohyń (2);ludność na 1 km2;2006;40;osoba; 
616011;Dęblin (1);ludność na 1 km2;2006;469;osoba; 
616022;Kłoczew (2);ludność na 1 km2;2006;51;osoba; 
616032;Nowodwór (2);ludność na 1 km2;2006;60;osoba; 
616043;Ryki (3);ludność na 1 km2;2006;127;osoba; 
616052;Stężyca (2);ludność na 1 km2;2006;47;osoba; 
616062;Ułęż (2);ludność na 1 km2;2006;43;osoba; 
617011;Świdnik (1);ludność na 1 km2;2006;1970;osoba; 
617022;Mełgiew (2);ludność na 1 km2;2006;89;osoba; 
617033;Piaski (3);ludność na 1 km2;2006;63;osoba; 
617042;Rybczewice (2);ludność na 1 km2;2006;39;osoba; 
617052;Trawniki (2);ludność na 1 km2;2006;109;osoba; 
618011;Tomaszów Lubelski (1);ludność na 1 km2;2006;1522;osoba; 
618022;Bełżec (2);ludność na 1 km2;2006;104;osoba; 
618032;Jarczów (2);ludność na 1 km2;2006;34;osoba; 
618042;Krynice (2);ludność na 1 km2;2006;49;osoba; 
618072;Rachanie (2);ludność na 1 km2;2006;64;osoba; 
618082;Susiec (2);ludność na 1 km2;2006;41;osoba; 
618092;Tarnawatka (2);ludność na 1 km2;2006;49;osoba; 
618102;Telatyn (2);ludność na 1 km2;2006;39;osoba; 
618112;Tomaszów Lubelski (2);ludność na 1 km2;2006;62;osoba; 
618123;Tyszowce (3);ludność na 1 km2;2006;48;osoba; 
618132;Ulhówek (2);ludność na 1 km2;2006;35;osoba; 
619011;Włodawa (1);ludność na 1 km2;2006;756;osoba; 
619022;Hanna (2);ludność na 1 km2;2006;24;osoba; 
619032;Hańsk (2);ludność na 1 km2;2006;22;osoba; 
619042;Stary Brus (2);ludność na 1 km2;2006;17;osoba; 
619052;Urszulin (2);ludność na 1 km2;2006;23;osoba; 
619062;Włodawa (2);ludność na 1 km2;2006;24;osoba; 
619072;Wola Uhruska (2);ludność na 1 km2;2006;27;osoba; 
619082;Wyryki (2);ludność na 1 km2;2006;13;osoba; 
620012;Adamów (2);ludność na 1 km2;2006;45;osoba; 
620022;Grabowiec (2);ludność na 1 km2;2006;36;osoba; 
